specialty,name,qualifications,experience,rating,hospital,phone
"General Practitioner","Dr. Sarah Wanjiku Mwangi","MBChB - University of Nairobi | Board Certified Family Medicine","15 years of experience in family medicine and preventive care","4.9","Nairobi Hospital","0712345001"
"General Practitioner","Dr. Michael Otieno Okoth","MBChB - Moi University | Board Certified Internal Medicine","12 years specializing in infectious diseases and general practice","4.8","Moi Teaching and Referral Hospital","0712345002"
"General Practitioner","Dr. Emily Achieng Ouma","MBChB - Kenyatta University | Board Certified Family Medicine","10 years in community health and primary care","4.7","Kenyatta National Hospital","0712345003"
"General Practitioner","Dr. James Mutua Njoroge","MBChB - Aga Khan University | Board Certified Internal Medicine","18 years treating chronic diseases and acute illnesses","4.9","Aga Khan University Hospital Nairobi","0712345004"
"General Practitioner","Dr. Linda Chebet Kiptoo","MBChB - University of Nairobi | Board Certified Family Medicine","14 years in preventive medicine and health education","4.8","Nairobi Hospital","0712345005"
"Pulmonologist","Dr. Robert Kamau","MBChB, MMed - University of Nairobi | Board Certified Pulmonology","20 years specializing in respiratory diseases and critical care","4.9","Nairobi Hospital","0712345006"
"Pulmonologist","Dr. Patricia Anyango","MBChB, MMed - Moi University | Board Certified Pulmonology","16 years in asthma and COPD management","4.8","Moi Teaching and Referral Hospital","0712345007"
"Pulmonologist","Dr. David Ochieng","MBChB, MMed - Kenyatta University | Board Certified Pulmonology & Sleep Medicine","14 years treating lung infections and sleep disorders","4.9","Kenyatta National Hospital","0712345008"
"Pulmonologist","Dr. Jennifer Akinyi","MBChB, MMed - Aga Khan University | Board Certified Pulmonology","11 years in interventional pulmonology","4.7","Aga Khan University Hospital Nairobi","0712345009"
"Pulmonologist","Dr. Andrew Wambua","MBChB, MMed - University of Nairobi | Board Certified Pulmonology","19 years in critical care and ventilator management","4.8","Nairobi Hospital","0712345010"
"Endocrinologist","Dr. Maria Wangui Ndegwa","MBChB, MMed - University of Nairobi | Board Certified Endocrinology","17 years specializing in diabetes and thyroid disorders","4.9","Nairobi Hospital","0712345011"
"Endocrinologist","Dr. Richard Mwende Karanja","MBChB, MMed - Moi University | Board Certified Endocrinology","22 years in diabetes research and treatment","4.9","Moi Teaching and Referral Hospital","0712345012"
"Endocrinologist","Dr. Susan Adera","MBChB, MMed - Kenyatta University | Board Certified Endocrinology","15 years treating metabolic disorders","4.8","Kenyatta National Hospital","0712345013"
